keywords,context,text
run#team#field#drill,The,"The field is run by the drill team, which is composed of U."
take#goal#player#shot,The,The player takes a shot from the top of the goal in slow motion.
catch#frisbee#dog#throw,The,The dog is caught by frisbee and thrown into the water.
food#table#sit#front,The,The table below lists the top 50 foods that are sitting in the front.
guitar#sit#front#microphone,The,The man sits in front of a microphone and plays guitar on his guitar.
use#tool#piece#metal,The,The piece was used as a tool to build a metal sculpture of Mr.
sidewalk#walk#leash#dog,The,The dog is walking down the sidewalk with a leash on his side of it.
stage#perform#routine#music,The,The music is performed by the performing ensemble at the end of stage routine.
demonstrate#sew#machine#use,The,The man is demonstrating how to use a sewing machine to make a skirt.
food#pan#cook#stove,The,The man is cooking food on the stove and panning the vegetables nearby.
field#jersey#player#wear,The,The player wears a jersey in the middle of the field next to him.
refrigerator#open#close#door,The,The door opened and a refrigerator was closed over the empty space next.
mower#push#lawn#mow,The,The mowing is being pushed by a lawn mowing and mower.
roast#fire#stick#marshmallow,The,The fire is on the roof of the marshmallow stick and the fire.
sit#couple#dinner#table,The,The couple sat on the table for a while before they got up to dinner.
put#lipstick#talk#lip,The,The lip is put on and the man talks to her with a lipstick.
water#car#drive#road,The,The car is driving down the road next to the water in the rain.
background#music#tree#decorate,The,"The trees are decorated with red and white background, music is played by guitar."
hang#donut#string#eat,The,The donuts are hanging on a string to eat by the fireman.
wood#bike#trail#ride,The,The man riding the bike on the wooded trail next to his home.
board#water#boat#ride,The,The boat is on the water and is riding on board of a tug.
chair#sit#food#eat,The,The man is sitting on a chair eating food from the refrigerator and laughs.
music#dance#audience#front,The,The audience was very interested in the music and dance in front of them.
score#win#goal#game,The,"The game won the tournament, scoring a goal in each of its games."
stand#practice#hit#ball,The,The practice of stand-up comedy has been hit and miss for balls.
kitchen#watermelon#knife#cut,The,"The kitchen has a watermelon, cut up with a knife and deep fried."
bottle#separate#white#yolk,The,The bottle is separated into two yolk and white in the same way.
throw#run#javelin#track,The,"The track was then thrown into the javelin, which ran past."
walk#street#talk#cellphone,The,The man is walking down the street talking to a cellphone on his lap.
dance#music#light#flash,The,"The music video for ""Dance with the Flash"" was light years ahead."
neck#guitar#move#hand,The,The man then moved his hand to his guitar and played a song by Neck.
chase#ball#grass#dog,The,The dog is chasing the ball while the grass is down on the ground.
sand#walk#beach#dog,The,The man is walking down the beach with a dog and sand in his face.
mat#pole#jump#run,The,The two women are running in a field of three women jumping from pole.
net#cast#water#boat,The,The boat was cast off in the water with net in front of it.
sidewalk#bike#ride#wheel,The,The bike is parked on the sidewalk and rides around wheeling a bike.
sew#fabric#piece#machine,The,The piece was fabricated by Sewes on the basis of a machine.
ride#mower#grass#cut,The,"The grass was cut, the mower was raked and the ride."
tree#decorate#ornament#put,The,The ornament was put on the tree and decorated with garlands and flowers.
knob#door#open#turn,The,The doors were opened and someone turned on the television to see a knock.
wear#dress#sidewalk#stand,The,The man dressed in black is wearing a black jacket and stands on sidewalk.
dog#fence#area#run,The,The dog runs over to the area where the fence is and follows it.
drink#pour#bottle#glass,The,The woman is pouring a glass of water onto a bottle while drinking it.
bathtub#shave#stand#leg,The,The bathtub with a bathtub that is standing on its legs is shaved.
throw#distance#object#spin,The,The object is to spin the object and throw it in the distance away.
front#take#picture#stand,The,The man is standing in front of a picture taken by a local woman.
snap#smile#finger#sit,The,"The man is smiling, and sits with his finger snapped to his ear."
field#compete#team#game,The,The team competes in the field of video game and virtual reality technology.
ride#shirt#scooter#wear,The,The man wearing a red shirt rides a scooter across the parking lot.
dog#tree#run#snow,The,The dog runs away from the tree and into the snow and drowns.
throw#jump#trampoline#ball,The,The trampoline is throw in the ball and jump over the bars.
music#background#ball#juggle,The,The music is juggled with a background of balladry and chamber music.
newspaper#drink#coffee#read,The,The young woman is drinking coffee and reading a newspaper in the living room.
hand#clap#song#singe,The,The song is sung by the clap of hands and the song begins.
clean#use#floor#mop,The,The mop is used to clean the floor of a bathroom or room.
presentation#front#give#stand,The,The presenter gave a standing ovation in front of the audience at the show.
soap#wash#sink#hand,The,The ship is washed up on the beach with a sink hole in its hands.
tree#tie#rope#walk,The,The man is walking with a rope tied around his trunk by a tree.
fry#ingredient#add#pan,The,"The ingredients are then added to the pan, and the frys are added."
street#dog#night#walk,The,The dog walks down the street at night with a red cloth around it.
crowd#music#watch#dance,The,"The music video for ""I Can't Dance"" was watched by 2."
meat#cut#piece#knife,The,The piece of meat is cut into small pieces with a knife or knife.
surfboard#sail#water#ride,The,The surfboard is sailing in the water and is riding on the surfboard.
background#stage#dance#music,The,The stage is set for a dance-off in the background of music.
face#shave#apply#cream,The,The man applies the cream to his face and then is shaved with it.
give#table#lay#massage,The,The woman lays down on the table and gives a massage to the man.
hand#hold#water#walk,The,The man is holding a hand-held walkie-talkie over water.
coat#wear#walk#sidewalk,The,The man is wearing a coat and walking down the sidewalk with his arms.
tree#dig#hole#plant,The,The plant is dug up by a tree with a hole in the top.
snow#hill#ski#cover,The,The hill is covered with snow and skis are used to cross it.
table#light#candle#sit,The,The light is sitting on a table next to a candle in the darkness.
flip#pancake#fry#pan,The,The pancake is fried to a pan of hot oil before being dipped.
band#field#perform#march,The,"The band performed in the field on 12 March, at the same time."
nail#cat#hold#clip,The,The cat clip holds the nails to the nails of the cat's nails.
dog#frisbee#trick#perform,The,The dogs are performing tricks on the frisbee and getting ready for play.
