keywords,context,text
run#team#field#drill,The,"The field is run by the National Field Team, a volunteer drill team from the U."
take#goal#player#shot,The,The player takes a shot from the top of the scrum and is tackled by goals.
catch#frisbee#dog#throw,The,The dog is caught by frisbee and thrown into the water by a young boy.
food#table#sit#front,The,The table below lists the top 50 foods that sit in the front of the United States.
guitar#sit#front#microphone,The,"The man is sitting in front of a TV, playing a guitar and playing the microphone."
use#tool#piece#metal,The,The piece was used as a tool to build a metal sculpture of the Virgin Mary Mary.
sidewalk#walk#leash#dog,The,The dog is walking down the sidewalk with a leash on it and no one can see.
stage#perform#routine#music,The,The music is more or less in a routine and the stage is performed in electric light.
demonstrate#sew#machine#use,The,"The man is demonstrating how to use a sewing machine, and is using it to build something."
food#pan#cook#stove,The,The man is cooking food on the stove and panning vegetables on the oven counter top.
field#jersey#player#wear,The,The player wears a jersey with the number on the left breast of the green field behind him.
refrigerator#open#close#door,The,"The door opened, and the refrigerator was closed, as was the door to the shower."
mower#push#lawn#mow,The,The mow is pushed down the lawn by a mower with a mowing wheel.
roast#fire#stick#marshmallow,The,"The fire is on the roof of the marshmallow stick, which is on top of."
sit#couple#dinner#table,The,The couple sat on the table for a while before they were able to get their dinner.
put#lipstick#talk#lip,The,The lip is put on and she talks about how she's a girl with a lipstick.
water#car#drive#road,The,The car is driving down the road and the water is lapping at the edge of it.
background#music#tree#decorate,The,"The trees are decorated with a wide variety of patterns, backgrounds, and music by local artists."
hang#donut#string#eat,The,The donut is hanging on a string and it is eating the donut off it.
wood#bike#trail#ride,The,"The man riding the bike on the trail is John Wood, who is also a U."
board#water#boat#ride,The,The boat is on the water and she is riding on the board of the scuba diver.
chair#sit#food#eat,The,The man is sitting in a chair eating food that has been placed on the countertop.
music#dance#audience#front,The,The music was so great in front of the audience that they were dancing around the room.
score#win#goal#game,The,"The game won the tournament, and scored a goal in the final to win the game."
stand#practice#hit#ball,The,The practice of stand-up comedy has been hit and miss since the ball was first.
kitchen#watermelon#knife#cut,The,The kitchen has a watermelon and a knife cut up in it with sprinkles on it.
bottle#separate#white#yolk,The,The bottle is separated into two yolk and white bottles with the same size and shape.
throw#run#javelin#track,The,The track was then thrown into the javelin and ran down the track at high speed.
walk#street#talk#cellphone,The,The man is walking down the street talking to a woman and then walks off with cellphone.
dance#music#light#flash,The,"The music video for ""Lightning Flash"" was directed and choreographed by Michael J."
neck#guitar#move#hand,The,The man then moved his hand closer to the guitar and played a chord on his neck.
chase#ball#grass#dog,The,The dog is chasing the ball and the grass is raining down on him from the sky.
sand#walk#beach#dog,The,The man is walking down the beach with a dog and sand in his face from sand.
mat#pole#jump#run,The,"The pole was first run on a mat, but the jump was done on a pole."
net#cast#water#boat,The,The boat was cast off in the water and nets were put up around the marina.
sidewalk#bike#ride#wheel,The,The ride is a four wheeled bike with a sidecar on the sidewalk next to.
sew#fabric#piece#machine,The,The piece was fabricated by Sewes on the basis of a machine-gun shot.
ride#mower#grass#cut,The,The ride was cut short by a mower and grass clippings in the wind.
tree#decorate#ornament#put,The,The ornament was put on the tree by a woman who was decorating it for Christmas.
knob#door#open#turn,The,The door was opened by someone who turned out to be a knock at the same time.
wear#dress#sidewalk#stand,The,The man is wearing a black and white dress shirt and is standing on a sidewalk.
dog#fence#area#run,The,The dog runs over to the fence in an attempt to get out of the area alone.
drink#pour#bottle#glass,The,The woman is pouring a glass of water onto a bottle that has been drinking from it.
bathtub#shave#stand#leg,The,The bathtub with a bathtub that is standing on its legs is being shaved down.
throw#distance#object#spin,The,The object is to spin the object and throw it in the distance away from the camera.
front#take#picture#stand,The,The pictures were taken in front of a stand that had been set up by the U.
snap#smile#finger#sit,The,"The man is smiling, and is sitting with his finger snapped up to his own ear."
field#compete#team#game,The,"The team competes in a field of six other teams, all of whom compete in games."
ride#shirt#scooter#wear,The,The man wearing a red shirt is riding a scooter with a red and white helmet.
dog#tree#run#snow,The,The dog runs away from the tree and into the snow and drowns in the snow.
throw#jump#trampoline#ball,The,The trampoline is throw in the ball and jump up on it like a monkey.
music#background#ball#juggle,The,The music is juggled with a background of balladry and chamber music by J.
newspaper#drink#coffee#read,The,The young woman is drinking coffee and reading a newspaper in the living room of her home.
hand#clap#song#singe,The,The song is sung by the clap of hands and the song is played by people.
clean#use#floor#mop,The,"The mop is used to clean the floor, and is sometimes used as a tool."
presentation#front#give#stand,The,The presenter gave the stand-up special attention in front of a standing room only audience.
soap#wash#sink#hand,The,"The ship is washed up on the beach, and the soil is sinking in the hand."
tree#tie#rope#walk,The,"The tree is tied to a rope, and someone walks up to it with the rope."
fry#ingredient#add#pan,The,"The main ingredients of this dish are broccoli and carrots, added to a pan of butter."
street#dog#night#walk,The,The dog walks down the street at night and then looks up to see if there is another dog.
crowd#music#watch#dance,The,"The music video for ""I Can't Dance"" was watched by a crowd of 2."
meat#cut#piece#knife,The,The piece of meat was cut up with a knife and then deep fried in ketchup.
surfboard#sail#water#ride,The,The surfboard is attached to a sail that rides over the water on a wooden deck.
background#stage#dance#music,The,"The music video for ""Dance Dance"" was staged in the background of the episode."
face#shave#apply#cream,The,The man applies the cream to his face and then is shaved with a knife to make it.
give#table#lay#massage,The,The woman is laying down on a table and is giving a massage to a young man.
hand#hold#water#walk,The,The man is holding a woman by her hands and walking her down the water with him.
coat#wear#walk#sidewalk,The,"The man is wearing a black coat, walking down the sidewalk with his wife and child."
tree#dig#hole#plant,The,The plant is dug up by a digger and trees are planted around the hole instead.
snow#hill#ski#cover,The,The hill is covered with snow and skis are available for rent on the hillside.
table#light#candle#sit,The,The light is sitting on the table and candles are on the countertop next to it.
flip#pancake#fry#pan,The,The pancake is fried in a pan with some butter and a flammable substance.
band#field#perform#march,The,"The band performed in the field on 12 March, and then went on to perform again."
nail#cat#hold#clip,The,The cat clip holds the nails in position to secure the nails to the cat's nails.
dog#frisbee#trick#perform,The,"The dogs are performing tricks for the frisbee, and they are doing so well."
demonstrate#knit#needle#yarn,The,The woman demonstrates how to knit a needle and yarn in order to make a knitting stitch.
weight#bench#press#gym,The,"The gym has a weight room and a bench press room, as well as a fitness."
sit#alligator#hold#mouth,The,The alligators are holding the mouth of a man who is sitting on the same floor.
wood#cut#use#piece,The,The man uses a piece of wood to cut a hole in the wall of the bathroom.
pour#bowl#mix#ingredient,The,"The ingredients are mixed and poured into a bowl, which is then mixed with other ingredients."
vest#work#worker#wear,The,The workers were working in a vestibule to the left of the main entrance wearing work uniforms.
stage#band#perform#crowd,The,"The band performed in the first stage of the festival, which was held in a crowd."
eat#lunch#sit#worker,The,"The workers are sitting around eating lunch, and one of them is about to say something."
floor#fall#chair#sit,The,"The chair is sitting on the floor, and the chair is falling down to the floor."
bed#book#lay#read,The,The book was laid out in a bed that was read from left to right and right.
bed#hair#comb#sit,The,The bed has a long hair that is sitting on the comforter and combing it.
piece#draw#marker#paper,The,The paper draws on a number of historical marker pieces from the United Kingdom and the U.
ride#horse#lasso#cow,The,"The horse is riding over the cow, lassoing it by the front of it."
word#spray#paint#wall,The,The word is painted on the walls of the town hall with black spray paint and graffiti.
throw#catch#catcher#ball,The,"The catcher catches the ball and throws it to the second baseman, who catches it again."
wear#street#walk#shirt,The,The man in black is wearing a black shirt and walking down the street in black shorts.
house#sander#floor#sand,The,The house is on the first floor of the sand and sander factory in Sakai.
dog#tug#toy#war,The,The dog is tugging on the dog toy during the war between dogs and their humans.
jump#pile#rake#leave,The,The man is raking leaves and jumping over a pile of raked leaves in the garden.
face#pop#bubble#blow,The,The bubble is blown up by the pop of the face and then it is stashed.
street#scooter#motorize#ride,The,The motorized scooter rides on the street next to a motorized wheeled scooter.
lay#tickle#laugh#bed,The,The bed is laid out in the form of a laugh-out-loud tickle.
cigarette#continue#look#smoke,The,The young man is looking at the smoking barrel and continues to blink his big black cigarettes.
race#compete#pool#swimmer,The,The swimming pool is a two-race facility that competes in the North American Open.
ocean#catch#surfboard#wave,The,The surfboard is caught in the ocean by a large waves on the coast of Hawaii.
plate#food#eat#face,The,The food is on a plate that is facing the camera and has to be eaten quickly.
dribble#court#ball#player,The,"The ball was played by several players at the court, but it was Dribbles."
iron#straighten#demonstrate#hair,The,The man shows his hair straightened and demonstrates how to iron out the wrinkles on it.
hit#alley#roll#ball,The,The ball was rolled into the alley and hit a man in the back of the head.
front#brush#mirror#tooth,The,"The front of the tooth is brushed with a small brush to create a simple, mirror finish."
leap#dog#air#ball,The,"The dog is air-lifted to a ballroom in Leipzig, Germany."
camel#ride#lead#top,The,The man is leading a camel ride through the top of a mountain with his camels.
jump#run#track#perform,The,The tracks were run by a man who had performed jump from the top of the bridge.
roll#grass#dog#back,The,The dog is back in the grass and rolling around on the ground next to the home.
watch#sit#stand#game,The,The men are watchmen who are sitting in the game and stand up to the police.
cut#hair#chair#sit,The,The man's hair was cut short and sitting on a chair in the middle of the room.
throw#ball#pitcher#batter,The,"The pitcher throws the ball to the batter, and the batter returns it to the pitcher."
apply#brush#makeup#face,The,The face of a man applies to a man's makeup as well as his own brush.
wear#helmet#bike#ride,The,The man is wearing a helmet and riding a bike in the middle of the parking lot.
wear#air#jump#shirt,The,The man in the shirt is wearing a ski mask and jumps out of the airship.
field#catch#football#throw,The,The field of catch football has been thrown out the window since the mid-1980s.
arm#throw#air#dismount,The,"The army was dismounted, and the two armies were thrown into an open air battle."
race#run#runner#street,The,The runner ran down the main street of the racecourse in the early hours of the morning.
tie#knot#demonstrate#rope,The,The man demonstrating the ropes tied to the ropes used for tying up a redwood tree.
table#sit#beer#glass,The,The table below shows the two types of beer that can be sitting in a glass beside each other.
bull#ride#chase#horse,The,The man is riding a horse in the middle of the bull-ring and chases.
beer#fill#glass#tap,The,"The glass is filled with beer, tap water, and a bottle of water from outside."
push#cart#toddler#store,The,The toddler is pushing a cart with two of his siblings and a few other store employees.
walk#street#fall#snow,The,"The snow fell on the street, and I was walking down the road in the snow."
smoke#pipe#smoke#blow,The,The pipe is blown by the smoke and smoke is emitted out of the chimney.
jump#run#track#sand,The,The sand is running down the track as the man jumps off and drowns in it.
music#dance#head#shake,The,The music is about to shake the head of anyone who has never danced in the park.
snack#eat#floor#sit,The,The giraffe is sitting on the ground and eating a snack on the forest floor.
fish#food#pond#feed,The,The fish is fed on the edge of a pond with food in it from the water.
paddle#body#water#kayak,The,"The body is paddle-able, kayak and can be used in shallow water."
wool#shave#sheep#hold,The,The sheep are being held by the Woolshed to be shaved for the new season.
head#lift#drop#weight,The,The head of the weightlifting team dropped out of the competition due to World War II.
pineapple#knife#cut#skin,The,The man cut the knife from the skin of the pineapple and let it fall to the floor.
dog#stand#groom#table,The,The dog is standing next to a table that has a groomer and a man dressed up.
music#treadmill#run#listen,The,"The music was run on a treadmill, while the man listened to it on a piano."
ceiling#climb#hang#rope,The,"The ceiling is hung with rope, and the people climb up to the top of it."
wear#stage#dance#dancer,The,"The dancer is wearing a black and white dress with a short, stage-like dance."
work#break#take#worker,The,"The workers were taken to a city hospital, where they were to be taken to work."
water#tail#alligator#pull,The,The tail of an alligators can pull a full-grown man's body into water.
bucket#milk#cow#hand,The,The Buckets of milk are handed over to the cow at the end of each day.
bicycle#ground#ride#fall,The,"The man is riding on the ground, but the bicycle falls off and he is killed."
gym#tricep#pull#down,The,The tricep pulls the bicep down over the shoulder and away from the gym.
costume#dance#street#wear,The,The street costume is typically worn by people who have never danced in front of a crowd.
hold#ask#sign#money,The,The money was asked to be held in a bank account and signed for by the customer.
find#walk#wood#mushroom,The,The man is walking through the woods with a mushroom found in his pocket and other items.
sharpener#sharpen#drill#pencil,The,The scissors drill is a sharpener with a pencil sharpener on one end and sharpen.
knife#chop#cut#board,The,The man cutting a cutting boards with a knife and using it as a cutting board is seen.
shake#table#sit#head,The,The table below shows the head of a man who is shaking and sitting in a chair.
stand#goat#feed#fence,The,"The giraffe standing next to a fence, feeding from a feeder with a goat."
water#pool#swim#jump,The,The swimming pool is open to the public and can be accessed by jumping into the water.
shave#leg#put#cream,The,"The man putting the cream on the leg is John Shaves, from New York City."
building#window#wash#hang,The,The building has a hang-up window that is likely to be washed out by rainfall.
market#fruit#sell#vegetable,The,"The fruit is sold in the market with various kinds of vegetables, such as papaya."
music#dance#room#perform,The,The music was performed in the living room of the house where she had been dancing there.
wear#hand#hold#shirt,The,"The man in black is wearing a black shirt, holding a hand up to his face."
bike#ride#take#break,The,The man is taking a break from riding his bike through the city on a sunny day.
candle#blow#birthday#cake,The,The candle is blown out of the cake with a thunderous thump on his birthday.
ride#fall#bike#ramp,The,The bike falls off the ramp and is lifted by a man riding on the same bike.
run#ball#dog#mouth,The,The dog is running around the mouth of the ball and the dog is not doing it.
ball#owner#dog#throw,The,"The dog is the owner of the ball, and the ball is thrown to the dog."
read#bench#paper#sit,The,The paper sits on a bench in the middle of the library reading room on the top floor.
dog#path#bush#run,The,The dog runs down the path to the bush where the man is hiding behind a tree.
